signature,kind,file_count,num_columns,columns,example_dataset,example_source,department
a313fd3544c8,xml-element,12,9,@Geography__place_of_occurrence | @Cause_of_death__ICD-10__ | @Characteristics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Provisional weekly death counts, by selected grouped causes of death",Dataset#13100810_1.xml#Series,statcan
9f72205d636f,xml-element,12,9,@Geography | @Government_sectors | @Statement_of_government_operations_and_balance_sheet | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Statement of government operations and balance sheet, government finance statistics, annual",Dataset#10100172_1.xml#Series,statcan
a54c72f17ec7,xml-element,12,10,@Geography | @Sector | @Indicators | @Activity | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Non Profit Satellite Account by activity, seasonally adjusted at annual rates",Dataset#36100649_1.xml#Series,statcan
56f88b2e5b02,xml-element,12,10,@Geography | @Industry | @Sector | @Variable | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Work stoppages in Canada, by jurisdiction and industry based on the North American Industry Classification System (NAICS), Employment and Social Development Canada - Labour Program occasional (number unless otherwise noted)",Dataset#14100352_1.xml#Series,statcan
4db08da90d26,xml-element,10,5,@TIME_PERIOD | @OBS_VALUE | @SYMBOL | @STATUS_CAN | @SECURITY_LEVEL,"Tobacco, sales and inventories, monthly production",Dataset#16100044_1.xml#Obs,statcan
d61350af0aed,xml-element,10,8,@Geography | @Labour_force_characteristics | @Statistics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @UOM | Obs,"Small area estimates of labour force characteristics for sub-provincial areas, monthly, unadjusted for seasonality",Dataset#14100480_1.xml#Series,statcan
5b92293d5c9a,xml-element,10,10,@Geography | @Seasonal_adjustment | @Prices | @North_American_Industry_Classification_System__NAICS_ | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Gross domestic product (GDP) at basic prices, by industry, quarterly average",Dataset#36100449_1.xml#Series,statcan
516c3c495e1c,xml-element,10,10,@Geography | @Prices | @Variable | @Sub-sector | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Gross domestic product (GDP) of non-profit institutions by sub-sector,Dataset#36100616_1.xml#Series,statcan
f451a42c7dcf,xml-element,10,11,@Geography | @Farm_type | @Revenue_class | @Estimate_type | @Estimates | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Farm operating revenues and expenses, annual",Dataset#32100136_1.xml#Series,statcan
53ae0d3c6cdc,xml-element,9,10,@Geography | @Prices | @Industries | @Seasonal_adjustment | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Tourism gross domestic product, constant prices",Dataset#36100234_1.xml#Series,statcan
7d21ff3b9089,xml-element,9,10,@Geography | @Prices | @Seasonal_adjustment | @Products | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Supply of tourism commodities, constant prices",Dataset#36100231_1.xml#Series,statcan
c84872f69e06,xml-element,9,11,@Geography | @Prices | @Seasonal_adjustment | @Indicators | @Products | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Tourism demand in Canada, constant prices",Dataset#36100230_1.xml#Series,statcan
